name,email,phone,website,address,city,state,niche,rating,reviewCount,lastReviewDate,reviewsLink,competitorName,competitorReviewCount,lane,sourceQuery
Dental Associates of Connecticut,wsnyder@dentalassoc.com,+1 203-380-0660,https://dentalassociates.us/our-dentists-orthodontists/shelton-dentists/,"680 Bridgeport Ave, Shelton, CT 06484",Shelton,Connecticut,Dentist,4.8,717,,https://search.google.com/local/reviews?placeid=ChIJC8t3CX0L6IkR3KT8SMRwp9A&q=*&authuser=0&hl=en&gl=US,,,reviews,"dental office, Connecticut, USA"
Dental Associates of Connecticut,kim.wells@snet.net,+1 203-380-0660,https://dentalassociates.us/our-dentists-orthodontists/shelton-dentists/,"680 Bridgeport Ave, Shelton, CT 06484",Shelton,Connecticut,Dentist,4.8,717,,https://search.google.com/local/reviews?placeid=ChIJC8t3CX0L6IkR3KT8SMRwp9A&q=*&authuser=0&hl=en&gl=US,,,reviews,"dental office, Connecticut, USA"
Dental Associates of Connecticut,annielucarelli1230@gmail.com,+1 203-380-0660,https://dentalassociates.us/our-dentists-orthodontists/shelton-dentists/,"680 Bridgeport Ave, Shelton, CT 06484",Shelton,Connecticut,Dentist,4.8,717,,https://search.google.com/local/reviews?placeid=ChIJC8t3CX0L6IkR3KT8SMRwp9A&q=*&authuser=0&hl=en&gl=US,,,reviews,"dental office, Connecticut, USA"
Central Connecticut Dental Group,info@centralctdental.com,+1 860-747-5761,https://www.centralctdental.com/,"359 Farmington Ave, Plainville, CT 06062",Plainville,Connecticut,Dentist,4.9,469,,https://search.google.com/local/reviews?placeid=ChIJtSbpsqyx54kRoMisvmrnkWE&q=*&authuser=0&hl=en&gl=US,,,reviews,"dental office, Connecticut, USA"
Downtown Dental CT,office@regentsdental.com,+1 203-367-0400,https://downtowndentalct.com/,"1023 Main St, Bridgeport, CT 06604",Bridgeport,Connecticut,Dentist,4.9,702,,https://search.google.com/local/reviews?placeid=ChIJ9YTfw3AO6IkRy_txc4BRSZg&q=*&authuser=0&hl=en&gl=US,,,reviews,"dental office, Connecticut, USA"
Center Dental Office,info@centerdentaloffice.com,+1 860-523-4239,http://www.centerdentaloffice.com/,"836 Farmington Ave Suite 120, West Hartford, CT 06119",West Hartford,Connecticut,Dentist,5,172,,https://search.google.com/local/reviews?placeid=ChIJnatZs7-s54kRTqP2y9uQLJc&q=*&authuser=0&hl=en&gl=US,,,reviews,"dental office, Connecticut, USA"
Premier Dental of Connecticut in West Hartford,demartindental@gmail.com,+1 860-866-4364,https://www.premierdentalconnecticut.com/dentist-office/west-hartford-ct-06119,"836 Farmington Ave Ste 105, West Hartford, CT 06119",West Hartford,Connecticut,Dentist,4.7,767,,https://search.google.com/local/reviews?placeid=ChIJtatZs7-s54kRrvduMdHublo&q=*&authuser=0&hl=en&gl=US,,,reviews,"dental office, Connecticut, USA"
West Hartford Family Dental | Dentist in West Hartford CT | DMD,spencer@smartdentallabs.com,+1 860-233-0552,https://smartdentalnetwork.com/location/west-hartford-family-dental/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgmb-website%26utm_content%3Dwebsite_button,"342 N Main St # 300, West Hartford, CT 06117",West Hartford,Connecticut,Dentist,4.9,588,,https://search.google.com/local/reviews?placeid=ChIJGUcQO32r54kRw6tImNpjhao&q=*&authuser=0&hl=en&gl=US,,,reviews,"dental office, Connecticut, USA"
West Hartford Family Dental | Dentist in West Hartford CT | DMD,hello@mcddental.com,+1 860-233-0552,https://smartdentalnetwork.com/location/west-hartford-family-dental/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgmb-website%26utm_content%3Dwebsite_button,"342 N Main St # 300, West Hartford, CT 06117",West Hartford,Connecticut,Dentist,4.9,588,,https://search.google.com/local/reviews?placeid=ChIJGUcQO32r54kRw6tImNpjhao&q=*&authuser=0&hl=en&gl=US,,,reviews,"dental office, Connecticut, USA"
West Hartford Family Dental | Dentist in West Hartford CT | DMD,cdicomesdental@gmail.com,+1 860-233-0552,https://smartdentalnetwork.com/location/west-hartford-family-dental/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgmb-website%26utm_content%3Dwebsite_button,"342 N Main St # 300, West Hartford, CT 06117",West Hartford,Connecticut,Dentist,4.9,588,,https://search.google.com/local/reviews?placeid=ChIJGUcQO32r54kRw6tImNpjhao&q=*&authuser=0&hl=en&gl=US,,,reviews,"dental office, Connecticut, USA"
Connecticut Dental Group,info@connecticutdentalgroup.com,+1 203-372-4200,http://connecticutdentalgroup.com/,"4699 Main St Suite 203, Bridgeport, CT 06606",Bridgeport,Connecticut,Dentist,4.9,112,,https://search.google.com/local/reviews?placeid=ChIJIUt8CNAO6IkRvvrUG0XhkPE&q=*&authuser=0&hl=en&gl=US,,,reviews,"dental office, Connecticut, USA"
Connecticut Dental Associates,westhaven@generaldentalct.com,+1 203-889-0278,http://generaldentalct.com/,"145 Boston Post Rd, West Haven, CT 06516",West Haven,Connecticut,Dentist,3,88,,https://search.google.com/local/reviews?placeid=ChIJ5d79iPHY54kREcq_zV1pS08&q=*&authuser=0&hl=en&gl=US,,,reviews,"dental office, Connecticut, USA"
Connecticut Dental Associates,webmaster@generaldentalct.com,+1 203-889-0278,http://generaldentalct.com/,"145 Boston Post Rd, West Haven, CT 06516",West Haven,Connecticut,Dentist,3,88,,https://search.google.com/local/reviews?placeid=ChIJ5d79iPHY54kREcq_zV1pS08&q=*&authuser=0&hl=en&gl=US,,,reviews,"dental office, Connecticut, USA"
Connecticut Family Dental,tulsinama@gmail.com,+1 203-574-2725,http://www.ctfdental.com/,"171 Grandview Ave # 103, Waterbury, CT 06708",Waterbury,Connecticut,Dentist,4.7,535,,https://search.google.com/local/reviews?placeid=ChIJpe8ExUrA54kRTMvKMv7emkg&q=*&authuser=0&hl=en&gl=US,,,reviews,"dental office, Connecticut, USA"
Connecticut Family Dental,as@ctfdental.com,+1 203-574-2725,http://www.ctfdental.com/,"171 Grandview Ave # 103, Waterbury, CT 06708",Waterbury,Connecticut,Dentist,4.7,535,,https://search.google.com/local/reviews?placeid=ChIJpe8ExUrA54kRTMvKMv7emkg&q=*&authuser=0&hl=en&gl=US,,,reviews,"dental office, Connecticut, USA"
