name,email,phone,website,address,city,state,niche,rating,reviewCount,lastReviewDate,reviewsLink,competitorName,competitorReviewCount,lane,sourceQuery
"Claggett, Sykes & Garza LLC",info@csgtrials.com,+1 860-773-4549,https://csgtrials.com/farmington/personal-injury-lawyer/%3Futm_source%3Dgmb%26utm_medium%3Dorganic%26utm_campaign%3Dfarmington,"76 Batterson Park Rd Suite 301, Farmington, CT 06032",Farmington,Connecticut,Law firm,5,559,,https://search.google.com/local/reviews?placeid=ChIJWa66pIBR5okRIc3LqMtU_QA&q=*&authuser=0&hl=en&gl=US,,,ai,"law firm, Connecticut, USA"
"Claggett, Sykes & Garza LLC",andrew@csgtrials.com,+1 860-773-4549,https://csgtrials.com/farmington/personal-injury-lawyer/%3Futm_source%3Dgmb%26utm_medium%3Dorganic%26utm_campaign%3Dfarmington,"76 Batterson Park Rd Suite 301, Farmington, CT 06032",Farmington,Connecticut,Law firm,5,559,,https://search.google.com/local/reviews?placeid=ChIJWa66pIBR5okRIc3LqMtU_QA&q=*&authuser=0&hl=en&gl=US,,,ai,"law firm, Connecticut, USA"
Connecticut Injury Firm LLC,plevin@expertwitnessexchange.com,+1 860-560-7226,https://www.connecticutinjuryhelp.com/,"40 Russ St, Hartford, CT 06106",Hartford,Connecticut,Law firm,4.9,43,,https://search.google.com/local/reviews?placeid=ChIJQZzLsGlT5okRev-oIwNeGJk&q=*&authuser=0&hl=en&gl=US,,,ai,"law firm, Connecticut, USA"
Connecticut Injury Firm LLC,plevin@connecticutinjuryhelp.com,+1 860-560-7226,https://www.connecticutinjuryhelp.com/,"40 Russ St, Hartford, CT 06106",Hartford,Connecticut,Law firm,4.9,43,,https://search.google.com/local/reviews?placeid=ChIJQZzLsGlT5okRev-oIwNeGJk&q=*&authuser=0&hl=en&gl=US,,,ai,"law firm, Connecticut, USA"
Connecticut Injury Firm LLC,boinkpl@gmail.com,+1 860-560-7226,https://www.connecticutinjuryhelp.com/,"40 Russ St, Hartford, CT 06106",Hartford,Connecticut,Law firm,4.9,43,,https://search.google.com/local/reviews?placeid=ChIJQZzLsGlT5okRev-oIwNeGJk&q=*&authuser=0&hl=en&gl=US,,,ai,"law firm, Connecticut, USA"
Welcome Law Firm: Waterbury Personal Injury & Immigration Lawyer,contact@welcomelawfirm.com,+1 203-689-0817,https://welcomelawfirm.com/waterbury-ct/personal-injury-lawyer/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp-listing-waterbury,"80 Central Ave, Waterbury, CT 06702",Waterbury,Connecticut,Law firm,4.8,502,,https://search.google.com/local/reviews?placeid=ChIJt3tfwVTA54kRxLTxzY0AY34&q=*&authuser=0&hl=en&gl=US,,,ai,"law firm, Connecticut, USA"
Welcome Law Firm: Waterbury Personal Injury & Immigration Lawyer,jwelcome@welcomelawfirm.com,+1 203-689-0817,https://welcomelawfirm.com/waterbury-ct/personal-injury-lawyer/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp-listing-waterbury,"80 Central Ave, Waterbury, CT 06702",Waterbury,Connecticut,Law firm,4.8,502,,https://search.google.com/local/reviews?placeid=ChIJt3tfwVTA54kRxLTxzY0AY34&q=*&authuser=0&hl=en&gl=US,,,ai,"law firm, Connecticut, USA"
Morgan & Morgan,approaching.lightspeed@gmail.com,+1 203-547-5916,https://www.forthepeople.com/office-locations/connecticut/new-haven/%3Futm_source%3DGMB%26utm_medium%3Dlocal%26utm_campaign%3DNewHavenCTGMB,"157 Church St 19th Floor, New Haven, CT 06510",New Haven,Connecticut,Law firm,4.8,952,,https://search.google.com/local/reviews?placeid=ChIJsT4fly0P6IkRFSWNmXoR3QY&q=*&authuser=0&hl=en&gl=US,,,ai,"law firm, Connecticut, USA"
"Law Office of Michael L. Chambers, Jr., Car Accident & Personal Injury Attorneys - Hartford",michael@mchamberslaw.com,+1 860-791-3302,https://mchamberslaw.com/%3Futm_source%3Dgbp%26utm_campaign%3DHartford,"2 Congress St #2C, Hartford, CT 06114",Hartford,Connecticut,Law firm,5,308,,https://search.google.com/local/reviews?placeid=ChIJfd64XGVT5okRr9ShMm2RVA4&q=*&authuser=0&hl=en&gl=US,,,ai,"law firm, Connecticut, USA"
"Tindall Law Firm, LLC",tavis@tindall-lawfirm.com,+1 203-755-0018,http://tindall-lawfirm.com/,"64 Holmes Ave, Waterbury, CT 06710",Waterbury,Connecticut,Trial attorney,5,242,,https://search.google.com/local/reviews?placeid=ChIJLV3s6VTA54kRb9qw3w91stQ&q=*&authuser=0&hl=en&gl=US,,,ai,"law firm, Connecticut, USA"
